THỜI KHÓA BIỂU DỰ KIẾN K70 - CẬP NHẬT NGÀY 29/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Min,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20251,THKHSS,165112,165112,CH1018,Hoá học,Chemistry,2(2-1-0-4),Sinh học 04 - Thực phẩm 01-K70C,1,6,1230-1455,1,3,Chiều,5-20,D4-502,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165124,165124,CH1018,Hoá học,Chemistry,2(2-1-0-4),"Thực phẩm 02,03,04 (nhóm 1/2)-K70C",1,6,1230-1455,1,3,Chiều,5-20,D5-104,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165125,165125,CH1018,Hoá học,Chemistry,2(2-1-0-4),"Thực phẩm 02,03,04 (nhóm 2/2)-K70C",1,6,1505-1730,4,6,Chiều,5-20,D5-204,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165136,165136,CH1018,Hoá học,Chemistry,2(2-1-0-4),"Thực phẩm 05,06,07,08 (nhóm 1/3)-K70C",1,3,1505-1730,4,6,Chiều,5-20,D5-402,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165137,165137,CH1018,Hoá học,Chemistry,2(2-1-0-4),"Thực phẩm 05,06,07,08 (nhóm 2/3)-K70C",1,4,1230-1455,1,3,Chiều,5-20,D5-501,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165138,165138,CH1018,Hoá học,Chemistry,2(2-1-0-4),"Thực phẩm 05,06,07,08 (nhóm 3/3)-K70C",1,4,1505-1730,4,6,Chiều,5-20,D5-505,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165479,165479,CH1018,Hoá học,Chemistry,2(2-1-0-4),Y sinh 01-K70S,1,6,0645-0910,1,3,Sáng,3-19,D5-402,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165480,165480,CH1018,Hoá học,Chemistry,2(2-1-0-4),Y sinh 02-K70S,1,6,0920-1145,4,6,Sáng,3-19,D5-402,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165017,165017,CH1018E,Hóa học I,Chemistry I,2(2-1-0-4),**CTTT Sinh học-K70C,1,4,1505-1730,4,6,Chiều,3-19,D3-504,NULL,NULL,NULL,60,Đang xếp TKB,LT+BT,AB,ELITECH,
20251,THKHSS,165177,165177,CH2000,Nhập môn kỹ thuật hóa học,Introduction to Chemical Engineering,3(2-1-1-6),"KTHH 13,14-K70S",1,5,1015-1145,5,6,Sáng,"2-4,8-20",D5-102,TN,NULL,NULL,90,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165178,165178,CH2000,Nhập môn kỹ thuật hóa học,Introduction to Chemical Engineering,3(2-1-1-6),"KTHH 15,16-K70S",1,5,1015-1145,5,6,Sáng,"2-4,8-20",D5-103,TN,NULL,NULL,90,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165188,165188,CH2000,Nhập môn kỹ thuật hóa học,Introduction to Chemical Engineering,3(2-1-1-6),"KTHH 01,02-K70S",1,4,1015-1145,5,6,Sáng,"2-4,8-20",D5-304,TN,NULL,NULL,90,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165189,165189,CH2000,Nhập môn kỹ thuật hóa học,Introduction to Chemical Engineering,3(2-1-1-6),"KTHH 03,04-K70S",1,4,1015-1145,5,6,Sáng,"2-4,8-20",D5-304,TN,NULL,NULL,90,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165200,165200,CH2000,Nhập môn kỹ thuật hóa học,Introduction to Chemical Engineering,3(2-1-1-6),"KTHH 05,06-K70S",1,4,0645-0815,1,2,Sáng,"2-4,8-20",D5-304,TN,NULL,NULL,90,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165201,165201,CH2000,Nhập môn kỹ thuật hóa học,Introduction to Chemical Engineering,3(2-1-1-6),"KTHH 07,08-K70S",1,4,0645-0815,1,2,Sáng,"2-4,8-20",D5-304,TN,NULL,NULL,90,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165212,165212,CH2000,Nhập môn kỹ thuật hóa học,Introduction to Chemical Engineering,3(2-1-1-6),"KTHH 09,10-K70S",1,4,0825-1005,3,4,Sáng,"2-4,8-20",D5-304,TN,NULL,NULL,90,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
